"Season","Game_ID","Game_Date","Team","Location","Wins_Entering_Gm","Losses_Entering_Gm","Team_Minutes","Final_Score","Lead_Changes","Ties","Largest_Lead","Full_Timeouts","Short_Timeouts","Qtr_4_Score","L2M_Score","Weekday"
"2016-17",21600047,2016-11-01,"CLE","H",3,0,240,128,2,3,10,5,2,85,114,2
"2016-17",21600047,2016-11-01,"HOU","A",2,1,240,120,2,3,9,5,3,84,112,2
"2016-17",21600048,2016-11-01,"LAL","A",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600048,2016-11-01,"IND","H",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600049,2016-11-01,"MIA","H",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600049,2016-11-01,"SAC","A",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600050,2016-11-01,"NYK","A",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600050,2016-11-01,"DET","H",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600051,2016-11-01,"NOP","H",0,3,240,113,2,4,9,5,1,86,110,2
"2016-17",21600051,2016-11-01,"MIL","A",1,2,240,117,3,6,12,4,0,84,112,2
"2016-17",21600052,2016-11-01,"MIN","H",0,2,240,116,4,2,40,5,0,97,112,2
"2016-17",21600052,2016-11-01,"MEM","A",2,1,240,80,3,0,3,3,2,59,78,2
"2016-17",21600053,2016-11-01,"SAS","H",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600053,2016-11-01,"UTA","A",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"2016-17",21600054,2016-11-01,"GSW","A",2,1,240,127,2,0,35,4,1,100,123,2
"2016-17",21600054,2016-11-01,"POR","H",2,1,240,104,2,0,7,5,1,73,95,2
"2016-17",21600055,2016-11-02,"TOR","A",2,1,240,113,4,5,12,3,1,84,104,3
"2016-17",21600055,2016-11-02,"WAS","H",0,2,240,103,3,3,12,5,1,75,98,3
"2016-17",21600056,2016-11-02,"PHI","A",0,3,240,93,3,1,13,4,2,73,90,3
"2016-17",21600056,2016-11-02,"CHA","H",2,1,240,109,3,6,18,4,0,85,104,3
"2016-17",21600057,2016-11-02,"BKN","H",1,3,240,109,2,0,21,4,2,92,103,3
"2016-17",21600057,2016-11-02,"DET","A",3,1,240,101,1,0,3,4,2,81,98,3
"2016-17",21600058,2016-11-02,"HOU","A",2,2,240,118,2,0,28,4,0,100,116,3
"2016-17",21600058,2016-11-02,"NYK","H",1,2,240,99,1,0,2,4,0,78,92,3
"2016-17",21600059,2016-11-02,"ATL","H",3,0,240,116,3,2,12,5,1,94,112,3
"2016-17",21600059,2016-11-02,"LAL","A",1,3,240,123,4,5,7,4,0,90,116,3
"2016-17",21600060,2016-11-02,"NOP","A",0,4,265,83,4,1,7,6,2,59,75,3
"2016-17",21600060,2016-11-02,"MEM","H",2,2,265,89,5,6,10,4,4,66,72,3
"2016-17",21600061,2016-11-02,"BOS","H",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600061,2016-11-02,"CHI","A",3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600062,2016-11-02,"DAL","A",0,3,240,81,1,2,1,6,1,59,80,3
"2016-17",21600062,2016-11-02,"UTA","H",2,2,240,97,1,0,20,3,2,66,92,3
"2016-17",21600063,2016-11-02,"PHX","H",0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600063,2016-11-02,"POR","A",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600064,2016-11-02,"LAC","H",3,0,240,83,10,7,3,5,2,66,78,3
"2016-17",21600064,2016-11-02,"OKC","A",3,0,240,85,10,5,10,4,1,65,81,3
"2016-17",21600065,2016-11-03,"ORL","H",1,3,240,102,3,3,13,4,0,84,100,4
"2016-17",21600065,2016-11-03,"SAC","A",2,3,240,94,3,2,8,4,0,78,92,4
"2016-17",21600066,2016-11-03,"MIL","H",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2016-17",21600066,2016-11-03,"IND","A",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2016-17",21600067,2016-11-03,"DEN","A",1,2,240,102,2,1,14,3,2,88,99,4
"2016-17",21600067,2016-11-03,"MIN","H",1,2,240,99,2,1,15,6,2,75,97,4
"2016-17",21600068,2016-11-03,"BOS","A",3,1,240,122,2,2,3,4,2,83,109,4
"2016-17",21600068,2016-11-03,"CLE","H",4,0,240,128,2,2,20,5,1,100,119,4
"2016-17",21600069,2016-11-03,"GSW","H",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2016-17",21600069,2016-11-03,"OKC","A",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2016-17",21600070,2016-11-04,"ATL","A",3,1,240,92,2,1,1,6,1,63,85,5
"2016-17",21600070,2016-11-04,"WAS","H",0,3,240,95,2,0,16,6,1,71,93,5
"2016-17",21600071,2016-11-04,"MIA","A",2,2,240,87,0,1,12,5,2,72,83,5
"2016-17",21600071,2016-11-04,"TOR","H",3,1,240,96,1,3,16,4,0,75,90,5
"2016-17",21600072,2016-11-04,"BKN","H",2,3,240,95,0,0,13,5,3,70,89,5
"2016-17",21600072,2016-11-04,"CHA","A",3,1,240,99,1,2,7,4,2,73,90,5
"2016-17",21600073,2016-11-04,"CHI","H",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2016-17",21600073,2016-11-04,"NYK","A",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2016-17",21600074,2016-11-04,"LAC","A",3,1,240,99,1,0,21,4,1,76,92,5
"2016-17",21600074,2016-11-04,"MEM","H",3,2,240,88,0,0,3,5,3,57,80,5
"2016-17",21600075,2016-11-04,"NOP","H",0,5,265,111,4,4,7,6,2,79,97,5
"2016-17",21600075,2016-11-04,"PHX","A",1,4,265,112,4,8,9,6,3,81,95,5
"2016-17",21600076,2016-11-04,"DAL","H",0,4,240,95,1,2,7,6,2,76,91,5
"2016-17",21600076,2016-11-04,"POR","A",2,3,240,105,1,2,16,4,0,79,97,5
"2016-17",21600077,2016-11-04,"SAS","A",4,1,240,100,1,2,19,4,1,82,98,5
"2016-17",21600077,2016-11-04,"UTA","H",3,2,240,86,1,0,8,4,1,66,83,5
"2016-17",21600078,2016-11-04,"GSW","A",4,1,240,97,0,0,0,6,2,82,93,5
"2016-17",21600078,2016-11-04,"LAL","H",2,3,240,117,0,0,22,5,1,93,113,5
"2016-17",21600079,2016-11-05,"MIN","A",1,3,240,92,1,5,1,5,1,72,86,6
"2016-17",21600079,2016-11-05,"OKC","H",4,1,240,112,1,1,26,5,1,90,108,6
"2016-17",21600080,2016-11-05,"CLE","A",5,0,240,102,6,2,18,5,1,82,99,6
"2016-17",21600080,2016-11-05,"PHI","H",0,4,240,101,6,4,5,5,2,80,101,6
"2016-17",21600081,2016-11-05,"ORL","H",2,3,240,88,3,3,6,5,3,61,86,6
"2016-17",21600081,2016-11-05,"WAS","A",1,3,240,86,3,2,12,5,3,70,82,6
"2016-17",21600082,2016-11-05,"DEN","A",2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600082,2016-11-05,"DET","H",3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600083,2016-11-05,"CHI","A",3,2,240,94,0,1,0,4,0,64,88,6
"2016-17",21600083,2016-11-05,"IND","H",2,3,240,111,0,0,27,4,1,88,104,6
"2016-17",21600084,2016-11-05,"ATL","H",3,2,240,112,4,3,21,4,2,93,112,6
"2016-17",21600084,2016-11-05,"HOU","A",3,2,240,97,3,2,4,4,0,84,95,6
"2016-17",21600085,2016-11-05,"MIL","H",3,2,240,117,0,0,31,4,0,90,114,6
"2016-17",21600085,2016-11-05,"SAC","A",2,4,240,91,0,1,0,3,1,63,88,6
"2016-17",21600086,2016-11-05,"LAC","A",4,1,240,116,1,0,28,5,1,89,113,6
"2016-17",21600086,2016-11-05,"SAS","H",5,1,240,92,0,0,8,4,1,72,86,6
"2016-17",21600087,2016-11-06,"NYK","H",2,3,240,109,3,1,13,6,1,80,97,7
"2016-17",21600087,2016-11-06,"UTA","A",3,3,240,114,3,4,9,4,2,78,106,7
"2016-17",21600088,2016-11-06,"POR","A",3,3,240,100,7,5,9,4,1,76,98,7
"2016-17",21600088,2016-11-06,"MEM","H",3,3,240,94,6,7,10,5,2,77,94,7
"2016-17",21600089,2016-11-06,"SAC","A",2,5,240,96,4,5,7,5,0,68,90,7
"2016-17",21600089,2016-11-06,"TOR","H",4,1,240,91,4,7,11,5,1,66,88,7
"2016-17",21600090,2016-11-06,"DAL","H",0,5,265,86,3,4,11,5,1,59,69,7
"2016-17",21600090,2016-11-06,"MIL","A",4,2,265,75,2,1,13,7,1,56,70,7
"2016-17",21600091,2016-11-06,"BOS","H",3,2,240,107,0,1,2,3,1,83,99,7
"2016-17",21600091,2016-11-06,"DEN","A",2,3,240,123,1,1,25,5,0,103,123,7
"2016-17",21600092,2016-11-06,"LAL","H",3,3,240,119,2,0,16,4,2,83,104,7
"2016-17",21600092,2016-11-06,"PHX","A",2,4,240,108,2,1,1,5,2,76,97,7
"2016-17",21600093,2016-11-07,"PHI","H",0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2016-17",21600093,2016-11-07,"UTA","A",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2016-17",21600094,2016-11-07,"HOU","A",3,3,240,114,13,2,11,3,0,84,108,1
"2016-17",21600094,2016-11-07,"WAS","H",1,4,240,106,12,3,11,5,1,83,102,1
"2016-17",21600095,2016-11-07,"IND","A",3,3,240,100,0,0,3,4,1,78,95,1
"2016-17",21600095,2016-11-07,"CHA","H",4,1,240,122,1,1,28,4,0,99,118,1
"2016-17",21600096,2016-11-07,"CHI","H",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2016-17",21600096,2016-11-07,"ORL","A",3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2016-17",21600097,2016-11-07,"MIA","A",2,3,240,85,0,0,2,3,1,61,82,1
"2016-17",21600097,2016-11-07,"OKC","H",5,1,240,97,1,1,24,5,0,83,95,1
"2016-17",21600098,2016-11-07,"LAC","H",5,1,240,114,1,0,43,4,0,91,114,1
"2016-17",21600098,2016-11-07,"DET","A",4,2,240,82,1,2,2,4,0,53,77,1
"2016-17",21600099,2016-11-07,"NOP","A",0,6,240,106,4,5,5,6,0,78,97,1
"2016-17",21600099,2016-11-07,"GSW","H",4,2,240,116,5,4,21,5,0,84,109,1
"2016-17",21600100,2016-11-08,"ATL","A",4,2,240,110,6,3,18,4,0,84,106,2
"2016-17",21600100,2016-11-08,"CLE","H",6,0,240,106,6,4,5,6,0,79,97,2
"2016-17",21600101,2016-11-08,"MIN","A",1,4,240,110,3,6,2,5,2,84,108,2
"2016-17",21600101,2016-11-08,"BKN","H",2,4,240,119,3,2,9,4,0,88,110,2
"2016-17",21600102,2016-11-08,"DEN","A",3,3,240,107,8,5,7,6,2,76,105,2
"2016-17",21600102,2016-11-08,"MEM","H",3,4,240,108,9,4,8,6,2,79,106,2
"2016-17",21600103,2016-11-08,"PHX","A",2,5,240,121,0,2,0,6,1,82,109,2
"2016-17",21600103,2016-11-08,"POR","H",4,3,240,124,0,0,18,5,0,89,113,2
"2016-17",21600104,2016-11-08,"DAL","A",1,5,240,109,3,3,12,5,2,83,101,2
"2016-17",21600104,2016-11-08,"LAL","H",4,3,240,97,2,5,10,5,2,77,93,2
"2016-17",21600105,2016-11-08,"NOP","A",0,7,240,94,0,1,0,5,2,70,83,2
"2016-17",21600105,2016-11-08,"SAC","H",3,5,240,102,0,0,12,4,1,76,93,2
"2016-17",21600106,2016-11-09,"BKN","A",3,4,240,96,2,3,14,4,1,71,88,3
"2016-17",21600106,2016-11-09,"NYK","H",2,4,240,110,2,1,20,4,1,72,104,3
"2016-17",21600107,2016-11-09,"BOS","A",3,3,240,93,0,1,0,4,1,69,91,3
"2016-17",21600107,2016-11-09,"WAS","H",1,5,240,118,0,0,27,4,0,89,114,3
"2016-17",21600108,2016-11-09,"UTA","A",5,3,240,98,5,3,10,5,1,78,94,3
"2016-17",21600108,2016-11-09,"CHA","H",5,1,240,104,5,5,10,4,2,76,103,3
"2016-17",21600109,2016-11-09,"MIN","A",1,5,240,123,0,0,30,4,1,97,117,3
"2016-17",21600109,2016-11-09,"ORL","H",3,4,240,107,0,1,0,6,1,77,101,3
"2016-17",21600110,2016-11-09,"IND","H",3,4,265,122,8,6,8,6,3,84,100,3
"2016-17",21600110,2016-11-09,"PHI","A",0,6,265,115,7,1,10,7,4,84,104,3
"2016-17",21600111,2016-11-09,"ATL","H",5,2,240,115,5,6,17,4,2,94,109,3
"2016-17",21600111,2016-11-09,"CHI","A",4,3,240,107,4,5,5,4,3,88,101,3
"2016-17",21600112,2016-11-09,"OKC","H",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600112,2016-11-09,"TOR","A",4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600113,2016-11-09,"PHX","H",2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600113,2016-11-09,"DET","A",4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"2016-17",21600114,2016-11-09,"HOU","A",4,3,240,101,7,2,13,5,0,85,101,3
"2016-17",21600114,2016-11-09,"SAS","H",5,2,240,99,7,4,2,5,2,80,97,3
"2016-17",21600115,2016-11-09,"LAC","H",6,1,240,111,0,0,48,3,1,93,108,3
"2016-17",21600115,2016-11-09,"POR","A",5,3,240,80,0,1,0,6,1,50,73,3
"2016-17",21600116,2016-11-09,"DAL","A",2,5,240,95,0,2,0,5,2,68,88,3
"2016-17",21600116,2016-11-09,"GSW","H",5,2,240,116,0,0,33,6,1,84,112,3
"2016-17",21600117,2016-11-10,"NOP","A",0,8,240,112,3,3,15,5,2,88,106,4
"2016-17",21600117,2016-11-10,"MIL","H",4,3,240,106,2,7,5,5,1,81,100,4
"2016-17",21600118,2016-11-10,"CHI","A",4,4,240,98,10,8,6,4,3,70,88,4
"2016-17",21600118,2016-11-10,"MIA","H",2,4,240,95,9,6,8,5,3,70,84,4
"2016-17",21600119,2016-11-10,"DEN","H",3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2016-17",21600119,2016-11-10,"GSW","A",6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"2016-17",21600120,2016-11-10,"LAL","A",4,4,240,101,2,0,10,4,2,70,94,4
"2016-17",21600120,2016-11-10,"SAC","H",4,5,240,91,2,2,19,5,1,73,87,4
"2016-17",21600121,2016-11-11,"IND","A",4,4,265,105,8,10,14,7,2,72,93,5
"2016-17",21600121,2016-11-11,"PHI","H",0,7,265,109,8,5,7,6,1,76,94,5
"2016-17",21600122,2016-11-11,"CLE","A",6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2016-17",21600122,2016-11-11,"WAS","H",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"2016-17",21600123,2016-11-11,"TOR","A",5,2,240,113,2,2,16,4,2,79,105,5
"2016-17",21600123,2016-11-11,"CHA","H",6,1,240,111,2,3,10,6,2,82,102,5
"2016-17",21600124,2016-11-11,"ORL","H",3,5,240,74,5,4,7,4,3,64,72,5
"2016-17",21600124,2016-11-11,"UTA","A",5,4,240,87,5,2,13,5,1,60,82,5
"2016-17",21600125,2016-11-11,"BOS","H",3,4,240,115,0,0,30,4,0,86,112,5
"2016-17",21600125,2016-11-11,"NYK","A",3,4,240,87,0,1,0,4,0,73,83,5
"2016-17",21600126,2016-11-11,"LAC","A",7,1,240,110,2,4,11,5,1,82,102,5
"2016-17",21600126,2016-11-11,"OKC","H",6,2,240,108,1,2,8,6,2,74,102,5
"2016-17",21600127,2016-11-11,"SAS","H",5,3,240,96,5,4,13,4,0,75,92,5
"2016-17",21600127,2016-11-11,"DET","A",4,4,240,86,5,4,6,5,1,67,84,5
"2016-17",21600128,2016-11-11,"POR","H",5,4,265,122,7,2,12,6,1,84,102,5
"2016-17",21600128,2016-11-11,"SAC","A",4,6,265,120,7,9,7,6,2,83,99,5
"2016-17",21600129,2016-11-12,"NOP","H",1,8,240,99,4,5,6,6,0,71,92,6
"2016-17",21600129,2016-11-12,"LAL","A",5,4,240,126,5,5,29,4,1,84,116,6
"2016-17",21600130,2016-11-12,"BOS","A",4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600130,2016-11-12,"IND","H",4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600131,2016-11-12,"NYK","A",3,5,240,107,13,11,5,4,2,85,103,6
"2016-17",21600131,2016-11-12,"TOR","H",6,2,240,118,14,9,11,4,1,87,107,6
"2016-17",21600132,2016-11-12,"ATL","H",6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600132,2016-11-12,"PHI","A",1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600133,2016-11-12,"CHI","H",5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600133,2016-11-12,"WAS","A",2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600134,2016-11-12,"HOU","H",5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600134,2016-11-12,"SAS","A",6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600135,2016-11-12,"LAC","A",8,1,240,119,2,2,19,4,1,88,112,6
"2016-17",21600135,2016-11-12,"MIN","H",2,5,240,105,2,4,2,6,1,73,98,6
"2016-17",21600136,2016-11-12,"MIA","H",2,5,240,91,1,3,2,5,1,59,82,6
"2016-17",21600136,2016-11-12,"UTA","A",6,4,240,102,2,1,21,4,1,76,100,6
"2016-17",21600137,2016-11-12,"MIL","H",4,4,240,106,3,0,14,4,0,75,102,6
"2016-17",21600137,2016-11-12,"MEM","A",4,4,240,96,3,6,1,6,1,70,96,6
"2016-17",21600138,2016-11-12,"DEN","H",3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600138,2016-11-12,"DET","A",4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"2016-17",21600139,2016-11-12,"BKN","A",3,5,240,122,3,1,20,4,1,90,110,6
