"","Event_Msg_Type","Action_Type","Event_Msg_Type_Description","Action_Type_Description"
"52",2,53,"Missed Shot                             ","Tip Shot                                "
"53",2,54,"Missed Shot                             ","Running Tip Shot                        "
"54",2,55,"Missed Shot                             ","Hook Shot                               "
"55",2,56,"Missed Shot                             ","Running Hook Shot                       "
"56",2,57,"Missed Shot                             ","Driving Hook Shot                       "
"57",2,59,"Missed Shot                             ","Finger Roll Shot                        "
"58",2,60,"Missed Shot                             ","Running Finger Roll Shot                "
"59",2,61,"Missed Shot                             ","Driving Finger Roll Shot                "
"60",2,62,"Missed Shot                             ","Turnaround Finger Roll Shot             "
"61",2,63,"Missed Shot                             ","Fadeaway Jump Shot                      "
"62",2,64,"Missed Shot                             ","Follow Up Dunk Shot                     "
"63",2,65,"Missed Shot                             ","Jump Hook Shot                          "
"64",2,66,"Missed Shot                             ","Jump Bank Shot                          "
"65",2,67,"Missed Shot                             ","Hook Bank Shot                          "
"66",3,10,"Free Throw                              ","Free Throw 1 of 1                       "
"67",3,11,"Free Throw                              ","Free Throw 1 of 2                       "
"68",3,12,"Free Throw                              ","Free Throw 2 of 2                       "
"69",3,13,"Free Throw                              ","Free Throw 1 of 3                       "
"70",3,15,"Free Throw                              ","Free Throw 3 of 3                       "
"71",3,16,"Free Throw                              ","Free Throw Technical                    "
"72",3,17,"Free Throw                              ","Free Throw Clear Path                   "
"73",4,1,"Rebound                                 ","Normal Rebound                          "
"74",4,2,"Rebound                                 ","Dead Ball Rebound                       "
"75",5,0,"Turnover                                ","No Turnover                             "
"76",5,1,"Turnover                                ","Bad Pass                                "
"77",5,2,"Turnover                                ","Lost Ball                               "
"78",5,3,"Turnover                                ","Out Of Bounds                           "
"79",5,4,"Turnover                                ","Traveling                               "
"80",5,5,"Turnover                                ","Foul                                    "
"81",5,6,"Turnover                                ","Double Dribble                          "
"82",5,7,"Turnover                                ","Discontinue Dribble                     "
"83",5,8,"Turnover                                ","3 Second Violation                      "
"84",5,9,"Turnover                                ","5 Second Violation                      "
"85",5,10,"Turnover                                ","8 Second Violation                      "
"86",5,11,"Turnover                                ","Shot Clock Turnover                     "
"87",5,13,"Turnover                                ","Backcourt Turnover                      "
"88",5,14,"Turnover                                ","Illegal Pick                            "
"89",5,15,"Turnover                                ","Offensive Goaltending                   "
"90",5,16,"Turnover                                ","Isolation Violation                     "
"91",5,18,"Turnover                                ","Jump Ball Violation                     "
"92",5,19,"Turnover                                ","Kicked Ball Violation                   "
"93",5,20,"Turnover                                ","Illegal Assist Turnover                 "
"94",5,21,"Turnover                                ","Palming Turnover                        "
"95",5,22,"Turnover                                ","Post Up Turnover                        "
"96",5,23,"Turnover                                ","Double Personal Turnover                "
"97",5,31,"Turnover                                ","Stolen Pass Turnover                    "
"98",5,37,"Turnover                                ","Offensive Foul Turnover                 "
"99",5,39,"Turnover                                ","Step Out of Bounds Turnover             "
"100",5,41,"Turnover                                ","Poss Lost Ball Turnover                 "
"101",6,1,"Foul                                    ","Personal                                "
"102",6,2,"Foul                                    ","Shooting                                "
"103",6,5,"Foul                                    ","Inbound                                 "
"104",6,6,"Foul                                    ","Away From Play                          "
"105",6,7,"Foul                                    ","Elbow                                   "
"106",6,8,"Foul                                    ","Punching                                "
"107",6,9,"Foul                                    ","Clear Path                              "
"108",6,10,"Foul                                    ","Double Personal                         "
"109",6,11,"Foul                                    ","Technical                               "
"110",6,12,"Foul                                    ","Non-Unsportsmanlike Technical           "
"111",6,14,"Foul                                    ","Flagrant Type 1                         "
"112",6,15,"Foul                                    ","Flagrant Type 2                         "
"113",6,16,"Foul                                    ","Double Technical                        "
"114",6,17,"Foul                                    ","Defense 3 Second                        "
"115",6,18,"Foul                                    ","Delay Technical                         "
"116",6,19,"Foul                                    ","Taunting Technical                      "
"117",7,1,"Violation                               ","Delay Of Game                           "
"118",7,3,"Violation                               ","Lane                                    "
"119",7,4,"Violation                               ","Jump Ball                               "
"120",7,5,"Violation                               ","Kicked Ball                             "
"121",7,99,"Violation                               ","Illegal Defense                         "
"122",8,0,"Substitution                            ","                                        "
"123",8,3,"Substitution                            ","                                        "
"124",8,10,"Substitution                            ","                                        "
"125",8,12,"Substitution                            ","                                        "
"126",8,14,"Substitution                            ","                                        "
"127",9,0,"Timeout                                 ","No Timeout                              "
"128",9,1,"Timeout                                 ","Regular                                 "
"129",9,2,"Timeout                                 ","Short                                   "
"130",9,3,"Timeout                                 ","Official TV                             "
"131",9,4,"Timeout                                 ","Official                                "
"132",10,0,"Jump Ball                               ","                                        "
"133",11,1,"Ejection                                ","Second Technical                        "
"134",11,3,"Ejection                                ","First Flagrant Type 2                   "
"135",11,4,"Ejection                                ","Other                                   "
"136",12,0,"Start Period                            ","                                        "
"137",13,0,"End Period                              ","                                        "
"138",4,0,"Rebound                                 ","Unknown                                 "
"139",1,43,"Made Shot                               ","Alley Oop Layup shot                    "
"140",1,53,"Made Shot                               ","Tip Shot                                "
"141",2,1,"Missed Shot                             ","Jump Shot                               "
"142",2,46,"Missed Shot                             ","Running Jump Shot                       "
"143",3,14,"Free Throw                              ","Free Throw 2 of 3                       "
"144",5,12,"Turnover                                ","Inbound Turnover                        "
"145",6,4,"Foul                                    ","Offensive                               "
"146",7,0,"Violation                               ","No Violation                            "
"147",3,0,"No Shot                                 ",""
"148",3,21,"Free Throw                              ","Free Throw Technical 1 of 2             "
"149",5,24,"Turnover                                ","10 Second Violaton                      "
"150",5,32,"Turnover                                ","Opposite Basket Turnover                "
"151",5,33,"Turnover                                ","Punched Ball Turnover                   "
"152",5,34,"Turnover                                ","Swinging Elbows Turnover                "
"153",5,36,"Turnover                                ","Illegal Screen Turnover                 "
"154",6,20,"Foul                                    ","Player Control                          "
"155",3,25,"Free Throw                              ","Free Throw Clear Path 1 of 2            "
"156",3,26,"Free Throw                              ","Free Throw Clear Path 2 of 2            "
"157",6,21,"Foul                                    ","Indirect Technical                      "
"158",3,20,"Free Throw                              ","Free Throw Flagrant 1 of 1              "
"159",3,19,"Free Throw                              ","Free Throw Flagrant 2 of 2              "
"160",3,18,"Free Throw                              ","Free Throw Flagrant 1 of 2              "
"161",3,22,"Free Throw                              ","Free Throw Technical 2 of 2             "
"162",5,35,"Turnover                                ","Basket from Below Turnover              "
"163",5,38,"Turnover                                ","5 Second Inbound Turnover               "
"164",1,71,"Made Shot                               ","Finger Roll Layup Shot                  "
"165",1,76,"Made Shot                               ","Running Finger Roll Layup Shot          "
"166",1,77,"Made Shot                               ","Driving Jump shot                       "
"167",1,72,"Made Shot                               ","Putback Layup Shot                      "
"168",1,73,"Made Shot                               ","Driving Reverse Layup Shot              "
"169",1,74,"Made Shot                               ","Running Reverse Layup Shot              "
"170",1,75,"Made Shot                               ","Driving Finger Roll Layup Shot          "
"171",1,79,"Made Shot                               ","Pullup Jump shot                        "
"172",1,80,"Made Shot                               ","Step Back Jump shot                     "
"173",1,81,"Made Shot                               ","Pullup Bank shot                        "
"174",1,82,"Made Shot                               ","Driving Bank shot                       "
"175",1,83,"Made Shot                               ","Fadeaway Bank shot                      "
"176",1,84,"Made Shot                               ","Running Bank shot                       "
"177",1,85,"Made Shot                               ","Turnaround Bank shot                    "
"178",1,86,"Made Shot                               ","Turnaround Fadeaway shot                "
"179",1,87,"Made Shot                               ","Putback Dunk Shot                       "
"180",1,88,"Made Shot                               ","Driving Slam Dunk Shot                  "
"181",1,89,"Made Shot                               ","Reverse Slam Dunk Shot                  "
"182",1,90,"Made Shot                               ","Running Slam Dunk Shot                  "
"183",1,91,"Made Shot                               ","Putback Reverse Dunk Shot               "
"184",1,92,"Made Shot                               ","Putback Slam Dunk Shot                  "
"185",1,93,"Made Shot                               ","Driving Bank Hook Shot                  "
"186",1,94,"Made Shot                               ","Jump Bank Hook Shot                     "
"187",1,95,"Made Shot                               ","Running Bank Hook Shot                  "
"188",1,96,"Made Shot                               ","Turnaround Bank Hook Shot               "
"189",2,71,"Missed Shot                             ","Finger Roll Layup Shot                  "
"190",2,72,"Missed Shot                             ","Putback Layup Shot                      "
"191",2,77,"Missed Shot                             ","Driving Jump shot                       "
"192",2,96,"Missed Shot                             ","Turnaround Bank Hook Shot               "
"193",2,73,"Missed Shot                             ","Driving Reverse Layup Shot              "
"194",2,74,"Missed Shot                             ","Running Reverse Layup Shot              "
"195",2,76,"Missed Shot                             ","Running Finger Roll Layup Shot          "
"196",2,78,"Missed Shot                             ","Floating Jump shot                      "
"197",2,79,"Missed Shot                             ","Pullup Jump shot                        "
"198",2,80,"Missed Shot                             ","Step Back Jump shot                     "
"199",2,81,"Missed Shot                             ","Pullup Bank shot                        "
"200",2,82,"Missed Shot                             ","Driving Bank shot                       "
"201",2,83,"Missed Shot                             ","Fadeaway Bank shot                      "
"202",2,84,"Missed Shot                             ","Running Bank shot                       "
"203",2,85,"Missed Shot                             ","Turnaround Bank shot                    "
"204",2,87,"Missed Shot                             ","Putback Dunk Shot                       "
"205",2,88,"Missed Shot                             ","Driving Slam Dunk Shot                  "
"206",2,90,"Missed Shot                             ","Running Slam Dunk Shot                  "
"207",2,91,"Missed Shot                             ","Putback Reverse Dunk Shot               "
"208",2,92,"Missed Shot                             ","Putback Slam Dunk Shot                  "
"209",2,93,"Missed Shot                             ","Driving Bank Hook Shot                  "
"210",2,94,"Missed Shot                             ","Jump Bank Hook Shot                     "
"211",2,95,"Missed Shot                             ","Running Bank Hook Shot                  "
"212",7,6,"Violation                               ","Double Lane                             "
"213",5,42,"Turnover                                ","Excess Timeout Turnover                 "
"214",6,25,"Foul                                    ","Excess Timeout Technical                "
"215",1,2,"Made Shot                               ","Running Jump Shot                       "
"216",1,46,"Made Shot                               ","Running Jump Shot                       "
"217",1,51,"Made Shot                               ","Reverse Dunk Shot                       "
"218",1,61,"Made Shot                               ","Driving Finger Roll Shot                "
"219",2,3,"Missed Shot                             ","Hook Shot                               "
"220",2,44,"Missed Shot                             ","Reverse Layup Shot                      "
"221",2,58,"Missed Shot                             ","Turnaround Hook Shot                    "
"222",5,17,"Turnover                                ","Lane Violation                          "
"223",6,0,"Foul                                    ","No Foul                                 "
"224",6,3,"Foul                                    ","Loose Ball                              "
"225",6,13,"Foul                                    ","Hanging Technical                       "
"226",7,2,"Violation                               ","Defensive Goaltending                   "
"227",11,0,"Ejection                                ","No Ejection                             "
"228",11,2,"Ejection                                ","Second Flagrant Type 1                  "
"229",5,40,"Turnover                                ","Out of Bounds Lost Ball Turnover        "
"230",2,75,"Missed Shot                             ","Driving Finger Roll Layup Shot          "
"231",2,86,"Missed Shot                             ","Turnaround Fadeaway shot                "
"232",2,89,"Missed Shot                             ","Reverse Slam Dunk Shot                  "
"233",5,43,"Turnover                                ","Player Out of Bounds Violation Turnover "
"234",1,78,"Made Shot                               ","Floating Jump shot                      "
"235",6,26,"Foul                                    ","Offensive Charge                        "
"236",6,27,"Foul                                    ","Personal Block                          "
"237",6,28,"Foul                                    ","Personal Take                           "
"238",6,29,"Foul                                    ","Shooting Block                          "
"239",9,5,"Timeout                                 ","Advance                                 "
"240",5,44,"Turnover                                ","Too Many Players Turnover               "
"241",6,30,"Foul                                    ","Too Many Players Technical              "
"242",1,97,"Made Shot                               ","Tip Layup Shot                          "
"243",1,98,"Made Shot                               ","Cutting Layup Shot                      "
"244",1,99,"Made Shot                               ","Cutting Finger Roll Layup Shot          "
"245",1,100,"Made Shot                               ","Running Alley Oop Layup Shot            "
"246",1,101,"Made Shot                               ","Driving Floating Jump Shot              "
"247",1,102,"Made Shot                               ","Driving Floating Bank Jump Shot         "
"248",1,103,"Made Shot                               ","Running Pull-Up Jump Shot               "
"249",1,104,"Made Shot                               ","Step Back Bank Jump Shot                "
"250",1,105,"Made Shot                               ","Turnaround Fadeaway Bank Jump Shot      "
"251",1,106,"Made Shot                               ","Running Alley Oop Dunk Shot             "
"252",1,107,"Made Shot                               ","Tip Dunk Shot                           "
"253",1,108,"Made Shot                               ","Cutting Dunk Shot                       "
"254",1,109,"Made Shot                               ","Driving Reverse Dunk Shot               "
"255",1,110,"Made Shot                               ","Running Reverse Dunk Shot               "
"256",2,97,"Missed Shot                             ","Tip Layup Shot                          "
"257",2,98,"Missed Shot                             ","Cutting Layup Shot                      "
"258",2,99,"Missed Shot                             ","Cutting Finger Roll Layup Shot          "
"259",2,100,"Missed Shot                             ","Running Alley Oop Layup Shot            "
"260",2,101,"Missed Shot                             ","Driving Floating Jump Shot              "
"261",2,102,"Missed Shot                             ","Driving Floating Bank Jump Shot         "
"262",2,103,"Missed Shot                             ","Running Pull-Up Jump Shot               "
"263",2,104,"Missed Shot                             ","Step Back Bank Jump Shot                "
"264",2,105,"Missed Shot                             ","Turnaround Fadeaway Bank Jump Shot      "
"265",2,106,"Missed Shot                             ","Running Alley Oop Dunk Shot             "
"266",2,107,"Missed Shot                             ","Tip Dunk Shot                           "
"267",2,108,"Missed Shot                             ","Cutting Dunk Shot                       "
"268",2,109,"Missed Shot                             ","Driving Reverse Dunk Shot               "
"269",2,110,"Missed Shot                             ","Running Reverse Dunk Shot               "
"270",5,45,"Turnover                                ","Out of Bounds - Bad Pass Turnover       "
"271",3,27,"Free Throw                              ","Free Throw Flagrant 1 of 3              "
"272",3,28,"Free Throw                              ","Free Throw Flagrant 2 of 3              "
"273",3,29,"Free Throw                              ","Free Throw Flagrant 3 of 3              "
"274",9,6,"Timeout                                 ","Reset                                   "
